Ngram	Surprisal
Lot of	26.1929410817
of people	12.8114448822
people coming	19.8156269042
coming old	26.9789622178
old cars	22.5731301678
cars maybe	27.9713102402
maybe from	26.2867995312
from the	12.2188960053
the 20th	15.5047957569
20th century	24.2188046678
century somewhere	26.9877766129
somewhere .	21.2651144009
. And	9.91861258478
And lot	22.0548447659
lot of	16.9641814275
of people	12.8114448822
people in	16.5059548251
in the	9.36353298464
the factory	14.3317962444
factory and	23.2533238394
and they	12.2718587221
they are	13.7669087777
are again	18.8715257179
again ready	24.8533515729
ready to	19.4078900396
to go	11.8942504165
go to	16.0237118492
to work	12.6952794229
work ,	16.4710543089
, I	9.78503328042
I guess	16.3873347285
guess .	23.0903531851
. And	9.91861258478
And they	17.3500102568
they are	13.7669087777
are in	14.8981388682
in a	10.8696894514
a factory	16.2943716351
factory .	22.3872528645
. And	9.91861258478
And there	17.5339261323
there are	14.3977169044
are some	16.0755518577
some people	17.2648330748
people standing	21.4159323331
standing there	21.7255884257
there and	16.2002516569
and looking	15.500269459
looking at	18.0262965025
at they	21.1799903453
they come	16.8829115506
come in	17.59393358
in .	13.069048682
. The	8.06494629967
The guy	18.8799015019
guy without	29.0918249201
without a	18.0380868256
a shirt	17.357137792
shirt coming	28.9752647074
coming up	19.9020941112
up and	15.2246656796
and he	11.9925890526
he starts	18.6443926442
starts something	28.5453043691
something and	19.8340888222
and some	13.3781132631
some sparkles	24.9201622629
sparkles and	31.989331224
and here	15.4085331323
here is	18.1221635441
is the	12.0342989729
the president	14.3236624445
president for	24.4208147626
for the	11.2297085141
the company	11.8862978632
company .	18.2579617345
. And	9.91861258478
And he	16.9581541072
he is	14.3315395332
is reading	18.9927801439
reading something	25.239107333
something or	20.5834757211
or doing	19.6573204487
doing something	20.0880336152
something ,	18.4080668151
, he	10.2679170618
he is	14.3315395332
is opening	18.9100884281
opening a	22.8678604886
a ,	14.0069866386
, opening	15.4454709942
opening a	22.8678604886
a newspaper	15.8672450302
newspaper .	22.2541509203
. His	11.1063447273
His secretary	23.8313877169
secretary or	24.4428024563
or a	14.7610481194
a lady	15.8514966733
lady ,	21.7644142584
, comes	15.4077306662
comes in	20.0779072573
in and	13.7232293543
and gives	15.8345789481
gives him	22.3683936233
him a	16.5564065235
a glass	15.152895642
glass of	20.7093457722
of water	13.7157184914
water He	26.4736618825
He drinks	22.2664498254
drinks the	26.8646234736
the water	12.4936405092
water and	18.8234477951
and switches	18.2989048902
switches on	26.3541789634
on a	12.7055401863
a screen	16.7484444423
screen where	26.1956509172
where he	16.6597656767
he can	15.5470641566
can see	15.9827747319
see the	16.0697302799
the workers	14.637177894
workers ,	20.0333518776
, and	8.45410777288
and what	13.4150933764
what is	15.5338183366
is going	14.7354569878
going on	17.2238923256
on in	15.4613905007
in the	9.36353298464
the factory	14.3317962444
factory .	22.3872528645
. And	9.91861258478
And he	16.9581541072
he can	15.5470641566
can see	15.9827747319
see the	16.0697302799
the workers	14.637177894
workers and	20.5530223439
and he	11.9925890526
he rings	21.312777589
rings the	27.1237217019
the bell	14.8893723716
bell and	24.957755615
and all	13.0265893262
all the	13.8126642091
the workers	14.637177894
workers come	25.0780664854
come ,	18.5233815221
, or	10.4835412524
or one	17.4478257787
one the	18.2987731062
the worker	15.7162773684
worker with	24.9503969264
with without	20.8325011834
without a	18.0380868256
a shirt	17.357137792
shirt come	28.3027982708
come ,	18.5233815221
, came	14.0636739101
came running	21.4164994212
running and	21.8828773176
and reports	16.6291038281
reports to	22.0316462777
